"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","Pb206.U238","Pb206.U238_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"MB07-2","MB07-2-41",0.0582,0.0014,0.7455,0.0183,0.0925,7e-04,570,4,539,41,0.7
"MB07-2","MB07-2-42",0.0581,0.0026,0.7534,0.0351,0.0936,0.0013,576,8,534,78,1
"MB07-2","MB07-2-43",0.0767,0.0018,2.1381,0.0512,0.2016,0.0022,1184,12,1114,31,1.9
"MB07-2","MB07-2-44",0.0584,0.0014,0.7482,0.0181,0.0926,7e-04,571,4,546,40,0.7
"MB07-2","MB07-2-45",0.0739,0.0014,1.8224,0.0347,0.1783,0.0013,1058,7,1038,27,0.4
"MB07-2","MB07-2-46",0.0596,0.0022,0.7468,0.0256,0.091,0.0011,561,6,590,53,-0.9
"MB07-2","MB07-2-47",0.0564,0.0011,0.6349,0.0123,0.0814,5e-04,504,3,468,33,1
"MB07-2","MB07-2-48",0.0768,0.0026,2.0849,0.0672,0.198,0.0018,1164,10,1117,50,1.7
"MB07-2","MB07-2-49",0.0964,0.0017,3.282,0.053,0.2469,0.0019,1423,10,1556,34,-3.8
"MB07-2","MB07-2-50",0.0592,0.0013,0.7168,0.0158,0.0875,7e-04,541,4,575,34,-1.5
"MB07-2","MB07-2-51",0.0585,0.0018,0.8081,0.0238,0.1006,9e-04,618,5,550,49,2.8
"MB07-2","MB07-2-52",0.0598,0.0015,0.8253,0.0205,0.0998,8e-04,613,5,597,40,0.3
"MB07-2","MB07-2-53",0.059,0.001,0.8091,0.0148,0.099,6e-04,608,4,568,29,1
"MB07-2","MB07-2-54",0.0744,0.001,1.8487,0.0247,0.1797,0.001,1065,5,1052,18,0.2
"MB07-2","MB07-2-55",0.1091,0.0012,4.8095,0.0559,0.3188,0.0017,1784,8,1784,14,-0.2
"MB07-2","MB07-2-56",0.0598,0.0011,0.8105,0.0152,0.0981,6e-04,603,4,597,29,0
"MB07-2","MB07-2-57",0.0701,0.0015,1.4146,0.0311,0.146,9e-04,879,5,931,35,-1.8
"MB07-2","MB07-2-58",0.0665,0.001,1.1129,0.02,0.1208,0.0013,735,7,823,21,-3.4
"MB07-2","MB07-2-59",0.0944,0.0018,3.3482,0.0641,0.2571,0.002,1475,10,1516,24,-1.2
"MB07-2","MB07-2-61",0.0761,0.0015,2.0277,0.0426,0.1926,0.0016,1136,9,1098,29,1
"MB07-2","MB07-2-62",0.0566,7e-04,0.6693,0.0086,0.0856,5e-04,529,3,475,18,1.7
"MB07-2","MB07-2-63",0.0708,9e-04,1.539,0.0209,0.157,0.001,940,6,952,17,-0.6
"MB07-2","MB07-2-65",0.0735,0.0016,1.9444,0.1032,0.1815,0.0054,1075,30,1027,61,-2
