NA,River,Point_bar_designation,Bar_Area_(km2),Amplitude_(m),CB_Width_(2x_Amplitude_-_m),Measured_Channel-belt_Width_(m),Channel-belt_1/2_wavelength_(m),Meander_wavelength_(2x_1/2_lambd,Long_axis_Length_(m),Short_Axis_Length_(m),Thickness_(m),CB_W/T,"CB
wavelength
/_thickness","CB_1/2
wavelength_/_amplitude",Bankfull_Thickness_Type,Mean_Bankfull_thickness_(m),Maximum_Bankfull_thickness_(m),Intermediate_Bankfull_Thickness_(m),Eddy_Accretion_thickness_(m),Contributing_Drainage_Area_(km2)
7,Rhine-Meuse,Schoonrewoerd_Ottol and_28.4,NA,80,80,NA,401,802,NA,NA,9,9,89,5.01,maximum,NA,9,NA,NA,165000
8,Rio_Ramos,Calapua 1,0.5,1250,2500,1553,430,860,1250,430,10,250,86,0.34,NA,NA,NA,NA,NA,5335
9,Rio_Ramos,Calapua 2,0.83,600,1200,NA,760,1520,760,600,12,100,127,1.27,NA,NA,NA,NA,NA,5335
10,Sabine,43,0.073,430,860,1181,400,800,430,400,7,123,114,0.93,maximum,NA,7.3,NA,NA,24200
11,Sabine,45,0.93,2180,4360,NA,880,1760,2180,880,15,291,117,0.4,mean,15,NA,NA,NA,25000
12,Sabine,47,2.3,2040,4080,5523,1450,2900,2040,1450,10,408,290,0.71,NA,NA,NA,NA,NA,25000
13,Sakura,1,0.124,22,44,33,88,176,88,176,3,17,68,4,maximum,2,2.6,NA,NA,128
14,Seim,1,5.204,3180,6360,7564,2320,4640,3180,2320,17,374,273,0.73,maximum,NA,NA,NA,NA,10700
15,South Fork - Madison,E13,0.003,100,200,240,45,90,100,45,1,167,75,0.45,intermediate,NA,NA,1.2,NA,120
16,South Fork - Madison,E21,0.004,50,100,152,120,240,120,50,1,83,200,2.4,intermediate,NA,NA,1.2,NA,120
17,South Fork - Madison,E32,0.03,160,320,NA,220,440,220,160,2,213,293,1.38,maximum,NA,1.5,NA,NA,120
18,South Fork - Madison,W15B,0.048,320,640,NA,250,500,320,250,2,356,278,0.78,maximum,NA,1.8,NA,NA,120
19,Strickland,5b,6.67,2810,5620,8141,3350,6700,3350,2810,13,432,515,1.19,intermediate,11,13,NA,NA,36000
20,Strickland,4,4.32,2150,4300,7133,2590,5180,2590,2150,11,391,471,1.2,mean,11,13,NA,NA,36000
21,Strickland,5,2.67,2550,5100,8141,1510,3020,2550,1510,13,392,232,0.59,intermediate,11,13,NA,NA,36000
22,Strickland,4b,5.14,3170,6340,7133,2060,4120,3170,2060,11,576,375,0.65,mean,11,13,NA,NA,36000
23,Tagliamento,1,0.357,740,1480,NA,520,1040,740,520,7,211,149,0.7,NA,NA,NA,NA,NA,2580
24,Teshio,1,0.626,1150,2300,NA,780,1560,1150,780,8,288,195,0.68,mean,8,10,NA,NA,5340
25,Tisza,p2,3.5,2860,5720,5102,1470,2940,2860,1470,9,636,327,0.51,maximum,NA,9,NA,NA,63000
26,Tisza,1_Hodos,1.58,1670,3340,NA,1270,2540,1670,1260,11,304,231,0.76,maximum,NA,11,NA,NA,63000
27,Tisza,Katahalon2,1.02,1640,3280,NA,890,1780,1640,890,8,437,237,0.54,mean,8,NA,NA,NA,63000
28,Tisza,kiralyer2,5.2,2590,5180,NA,2970,5940,2970,2590,11,471,540,1.15,maximum,NA,11,NA,NA,63000
29,Tisza - Koros,3_Dvs1,3.25,2000,4000,NA,2270,4540,2270,2000,8,500,568,1.14,mean,8,NA,NA,NA,17887
30,Tizsa - Koros,2_Tur1,4.7,2850,5700,NA,2270,4540,2850,2270,7,814,649,0.8,mean,7,NA,NA,NA,17887
31,Tongue River,Brandenberg 1,0.018,150,300,1440,190,380,190,150,2,125,158,1.27,maximum,NA,2.4,NA,NA,10186
32,Tongue River,Brandenberg2,0.054,440,880,1440,180,360,440,180,2,367,150,0.41,maximum,NA,2.4,NA,NA,10186
33,Tongue River,Brandenberg3,0.115,440,880,1440,350,700,440,350,2,367,292,0.8,maximum,NA,2.4,NA,NA,10186
34,Tongue River,Brandenberg4,0.063,240,480,1440,370,740,370,240,2,200,308,1.54,maximum,NA,2.4,NA,NA,10186
35,Tongue River,MilesCityptbar1,0.116,660,1320,1837,240,480,660,240,5,287,104,0.36,mean,4.6,NA,NA,NA,13924
36,Tongue River,MilesCityptbar2,0.393,850,1700,1837,650,1300,850,650,5,370,283,0.76,mean,4.6,NA,NA,NA,13924
37,Tongue River,State line,0.174,800,1600,632,600,1200,800,600,3,593,444,0.75,intermediate,2.7,3.7,3,NA,3811
38,Tongue River,BirneyBridge,0.157,480,960,754,430,860,480,430,2,533,478,0.9,mean,1.8,2.7,NA,NA,6762
39,Tongue_Pumpkin creek,1,0.031,290,580,699,150,300,290,150,1,580,300,0.52,maximum,1,1.1,NA,NA,1798
40,Tongue_Pumpkin creek,2,0.063,410,820,699,270,540,410,270,1,820,540,0.66,maximum,1,1.1,NA,NA,1798
41,Tongue_Pumpkin creek,3,0.113,580,1160,699,290,580,580,290,1,1160,580,0.5,maximum,1,1.1,NA,NA,1798
42,Trinity,3,2.1,2310,4620,7873,1230,2460,2310,1230,10,462,246,0.53,mean,10,12,NA,NA,46000
43,Trinity,5,5.6,3180,6360,7366,2220,4440,3180,2220,11,578,404,0.7,mean,11,14,NA,NA,46000
44,Trinity,8,3.96,2900,5800,9013,1910,3820,2900,1910,8,725,478,0.66,mean,8,NA,NA,NA,46000
45,Trinity,18,0.41,1170,2340,2488,490,980,1170,490,11,213,89,0.42,maximum,NA,NA,NA,NA,46000
46,Trinity,4,0.31,960,1920,3170,560,1120,960,560,10,192,112,0.58,maximum,NA,NA,NA,NA,46000
47,Trinity,6,4.6,1730,3460,NA,1730,3460,3800,1730,8,433,433,1,mean,8,NA,NA,NA,46000
48,Trinity,7,6.6,2750,5500,6375,3210,6420,3210,2750,7,786,917,1.17,maximum,NA,7,NA,NA,46000
49,Upper Parana,SS04_1,NA,4266,4266,NA,3610,7220,NA,NA,5,853,1444,0.85,maximum,3,5,NA,NA,797656
50,Wabash (USA),1,0.8,1450,2900,3245,650,1300,1450,650,10,290,130,0.45,maximum,6,10,NA,NA,75700
51,Weser,Stolzenau 1,NA,1960,3920,3575,1042,2084,NA,NA,9,436,232,0.53,maximum,5,9,NA,NA,46306
52,Weser,Stolzenau 2,1.031,1430,2860,3575,984,1968,NA,NA,7,409,281,0.69,mean,7,NA,NA,NA,46306
53,Widuri Field-Java Sea 1000 m depth,seismic,NA,300,600,NA,1000,2000,NA,NA,12,50,167,3.33,maximum,NA,12,NA,NA,NA
