"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
184269.1,4.1,0.05981,0.00089,NA,NA,11.307,0.157,546,7,597,32,8.4
184269.1,40.1,0.05797,0.00083,NA,NA,11.236,0.153,550,7,528,31,-4
184269.1,12.1,0.05862,0.00048,NA,NA,11.215,0.141,551,7,553,18,0.4
184269.1,16.1,0.05935,0.00111,NA,NA,10.098,0.141,609,8,580,41,-5
184269.1,45.1,0.0599,0.00075,NA,NA,10.452,0.249,589,13,600,27,1.8
184269.1,49.1,0.06142,0.00046,NA,NA,9.148,0.115,669,8,654,16,-2.2
184269.1,19.1,0.06198,0.00119,NA,NA,9.479,0.207,647,13,673,41,4
184269.1,21.1,0.06248,0.00049,NA,NA,9.452,0.125,648,8,691,17,6.1
184269.1,33.1,0.0665,0.00086,NA,NA,7.118,0.123,847,14,822,27,-3.1
184269.1,23.1,0.06832,0.00088,NA,NA,6.872,0.108,876,13,878,27,0.3
184269.1,57.1,0.06954,0.001,NA,NA,6.526,0.112,919,15,915,30,-0.5
184269.1,18.1,0.07321,0.00119,NA,NA,5.971,0.093,998,14,1020,33,2.1
184269.1,22.1,0.07498,0.00071,NA,NA,5.402,0.072,1095,13,1068,19,-2.5
184269.1,2.1,0.0754,0.00121,NA,NA,5.501,0.084,1077,15,1079,32,0.2
184269.1,25.1,0.07742,0.00106,NA,NA,5.225,0.076,1129,15,1132,27,0.3
184269.1,56.1,0.07806,0.00083,NA,NA,5.155,0.069,1143,14,1148,21,0.5
184269.1,58.1,0.0784,0.00081,NA,NA,5.194,0.073,1135,15,1157,20,1.9
184269.1,35.1,0.07879,8e-04,NA,NA,5.12,0.071,1150,15,1167,20,1.4
184269.1,20.1,0.07884,8e-04,NA,NA,4.943,0.068,1188,15,1168,20,-1.7
184269.1,3.1,0.07907,0.00092,NA,NA,4.916,0.071,1194,16,1174,23,-1.7
184269.1,42.1,0.07916,6e-04,NA,NA,5.032,0.065,1168,14,1176,15,0.7
184269.1,31.1,0.08043,0.00055,NA,NA,4.874,0.063,1203,14,1207,14,0.4
184269.1,9.1,0.08134,0.00054,NA,NA,5.026,0.064,1170,14,1230,13,4.9
184269.1,5.1,0.08478,0.00075,NA,NA,4.43,0.061,1312,16,1310,17,-0.1
184269.1,17.1,0.08533,0.0015,NA,NA,4.104,0.072,1406,22,1323,34,-6.2
184269.1,15.1,0.09636,0.00062,NA,NA,3.615,0.047,1574,18,1555,12,-1.2
184269.1,32.1,0.09672,9e-04,NA,NA,3.724,0.053,1533,19,1562,17,1.8
184269.1,14.1,0.09705,0.00044,NA,NA,3.696,0.046,1544,17,1568,8,1.6
184269.1,48.1,0.09711,0.00099,NA,NA,3.555,0.053,1598,21,1569,19,-1.8
184269.1,27.1,0.09857,7e-04,NA,NA,3.553,0.048,1599,19,1597,13,-0.1
184269.1,38.1,0.1007,0.00082,NA,NA,3.447,0.049,1642,21,1637,15,-0.3
184269.1,28.1,0.10087,0.00039,NA,NA,3.554,0.044,1598,17,1640,7,2.5
184269.1,11.1,0.10324,0.00185,NA,NA,3.294,0.066,1709,30,1683,33,-1.5
184269.1,1.1,0.10398,0.00151,NA,NA,3.397,0.057,1663,25,1696,27,1.9
184269.1,36.1,0.10597,0.00061,NA,NA,3.185,0.042,1760,20,1731,11,-1.7
184269.1,13.1,0.10615,6e-04,NA,NA,3.289,0.041,1711,19,1734,10,1.3
184269.1,24.1,0.10654,7e-04,NA,NA,3.334,0.045,1691,20,1741,12,2.9
184269.1,51.1,0.10665,0.00053,NA,NA,3.314,0.042,1700,19,1743,9,2.5
184269.1,8.1,0.10669,0.00077,NA,NA,3.212,0.044,1747,21,1744,13,-0.2
184269.1,44.1,0.1069,0.00138,NA,NA,3.237,0.052,1735,25,1747,24,0.7
184269.1,43.1,0.10733,0.00084,NA,NA,3.189,0.045,1758,21,1755,14,-0.2
184269.1,37.1,0.10734,0.00052,NA,NA,3.266,0.042,1722,19,1755,9,1.9
